# Shadow of War Game Database Dump
# List: AI/Simulation/Activities
# Entry count: 54
# Entry stride: 0x28
# Format: address|name|hex_bytes

000000006680C190|Spider_Spawn_Ground|040A000063007D06F0A7106600000000F84A83680000000050B160660000000034A8E94100000000
000000006680C1B8|OV_SittingIdleLoop|040A0000657E0C09F0A7106600000000084B83680000000050B1606600000000E002EA4100000000
000000006680C1E0|Troll_StandAtAttention|040A0000D23DA510F0A7106600000000184B83680000000050B1606600000000F402EA4100000000
000000006680C208|D4FIN_EasterlingIdleLoop|040A00008642C01CF0A7106600000000284B83680000000050B16066000000000C03EA4100000000
000000006680C230|Orc_WarDrum_Drumming_NoBuff|040A000019470B20F0A7106600000000384B83680000000050B16066000000002803EA4100000000
000000006680C258|Orc_AmpLoop|040A00007226182DF0A7106600000000484B83680000000050B16066000000004403EA4100000000
000000006680C280|Troll_CagedIdle|040A0000DFE6D22FF0A7106600000000584B83680000000050B16066000000005003EA4100000000
000000006680C2A8|Orc_AEIdleLoop|040A00005AA08336F0A7106600000000684B83680000000050B16066000000006003EA4100000000
000000006680C2D0|ChopTree|040A0000FC606838F0A7106600000000784B83680000000050B16066000000007003EA4100000000
000000006680C2F8|AI_Bip_SpCloset_Single|040A00007A35A23AF0A7106600000000884B83680000000050B16066000000007C03EA4100000000
000000006680C320|FD_WC_Waiting_Olog|040A0000E838B747F0A7106600000000984B83680000000050B16066000000009403EA4100000000
000000006680C348|Orc_AmpLoop_Mounted|040A0000140B6F48F0A7106600000000A84B83680000000050B1606600000000A803EA4100000000
000000006680C370|FortAssault_RangedAttack_Battlements|040A000082D22F4EF0A7106600000000B84B83680000000050B1606600000000BC03EA4100000000
000000006680C398|Olog_ChantLoop|040A00000DF9F650F0A7106600000000C84B83680000000050B1606600000000E403EA4100000000
000000006680C3C0|FortAssault_TrollRider_RangedAttack_Poison|040A0000464A7A5BF0A7106600000000D84B83680000000050B1606600000000F403EA4100000000
000000006680C3E8|Spider_Spawn_Wall|040A0000CE63075CF0A7106600000000E84B83680000000050B1606600000000E4CAE94100000000
000000006680C410|FortAssault_RangedAttack_Battlements_Idle|040A0000F000EF5DF0A7106600000000F84B83680000000050B160660000000060CBE94100000000
000000006680C438|AttackFortWall_SeismicStrike|040A0000440C6E5EF0A7106600000000084C83680000000050B16066000000002004EA4100000000
000000006680C460|Olog_WarDrum_Drumming_NoBuff|040A00004E072462F0A7106600000000184C83680000000050B16066000000004004EA4100000000
000000006680C488|FortAssault_TrollRider_RangedAttack_Curse|040A000094B94064F0A7106600000000284C83680000000050B16066000000006004EA4100000000
000000006680C4B0|FortAssault_RangedAttack_Battlements_FarSight|040A0000C2337166F0A7106600000000384C83680000000050B16066000000008C04EA4100000000
000000006680C4D8|D4FIN_ChantLoop|040A00008834106CF0A7106600000000484C83680000000050B1606600000000BC04EA4100000000
000000006680C500|Orc_Hostage_Kneeling_Loop|040A0000CCC63C6CF0A7106600000000584C83680000000050B1606600000000CC04EA4100000000
000000006680C528|AttackFortWall|040A000085DAE06CF0A7106600000000684C83680000000050B1606600000000E804EA4100000000
000000006680C550|Olog_WarDrum_Drumming|040A00004C8EAC6EF0A7106600000000784C83680000000050B1606600000000F804EA4100000000
000000006680C578|FD_WC_Waiting|040A0000BB5BB86EF0A7106600000000884C83680000000050B16066000000001005EA4100000000
000000006680C5A0|Orc_ChantLoop_Mounted|040A00002A534A71F0A7106600000000984C83680000000050B16066000000002005EA4100000000
000000006680C5C8|Troll_SmashWall|040A0000D9A8EC76F0A7106600000000A84C83680000000050B16066000000003805EA4100000000
000000006680C5F0|AI_Bip_Spawn_Rail|040A000098E65C79F0A7106600000000B84C83680000000050B16066000000004805EA4100000000
000000006680C618|FD_WC_Waiting_Mounted|040A00009DB49C7CF0A7106600000000C84C83680000000050B16066000000005C05EA4100000000
000000006680C640|Olog_StandAtAttention|040A00004E126080F0A7106600000000D84C83680000000050B16066000000007405EA4100000000
000000006680C668|AttackFortGate|040A0000C6D6AE88F0A7106600000000E84C83680000000050B16066000000008C05EA4100000000
000000006680C690|Orc_StandAtAttention_Mounted|040A0000AD676993F0A7106600000000F84C83680000000050B16066000000009C05EA4100000000
000000006680C6B8|Troll_CagedIdle_Other|040A000061AEBF95F0A7106600000000084D83680000000050B1606600000000BC05EA4100000000
000000006680C6E0|Orc_ChantLoop|040A0000083DB19BF0A7106600000000184D83680000000050B1606600000000D405EA4100000000
000000006680C708|Orc_AEIdleLoop_Mounted|040A0000FC4EF39BF0A7106600000000284D83680000000050B1606600000000E405EA4100000000
000000006680C730|Orc_WarDrum_Drumming|040A0000C9A63EA2F0A7106600000000384D83680000000050B1606600000000FC05EA4100000000
000000006680C758|Troll_ChantLoop|040A0000E9C04AA6F0A7106600000000484D83680000000050B16066000000001406EA4100000000
000000006680C780|FellBeast_CagedIdle|040A000086BB41AAF0A7106600000000584D83680000000050B16066000000002406EA4100000000
000000006680C7A8|Goblin_ChantLoop|040A0000FF033AACF0A7106600000000684D83680000000050B16066000000003806EA4100000000
000000006680C7D0|Troll_TowerClimb|040A0000C926FEAFF0A7106600000000784D83680000000050B16066000000004C06EA4100000000
000000006680C7F8|Orc_StandAtAttention|040A0000CB2AF2B3F0A7106600000000884D83680000000050B16066000000006006EA4100000000
000000006680C820|D3FMP_WC_ChargeIdle_Loop|040A00009F99D7B8F0A7106600000000984D83680000000050B16066000000007806EA4100000000
000000006680C848|Orc_Cheer|040A00003F8FC4C0F0A7106600000000A84D83680000000050B16066000000009406EA4100000000
000000006680C870|Goblin_StandAtAttention|040A0000ACA877C7F0A7106600000000B84D83680000000050B1606600000000A006EA4100000000
000000006680C898|Bip_SpawnCloset_Single|040A0000548634D3F0A7106600000000C84D83680000000050B16066000000003CF2E94100000000
000000006680C8C0|D4FIN_EasterlingChantLoop|040A0000A0BDD8D7F0A7106600000000D84D83680000000050B1606600000000B806EA4100000000
000000006680C8E8|Warg_CagedIdle|040A0000E54E89E3F0A7106600000000E84D83680000000050B1606600000000D406EA4100000000
000000006680C910|Orc_Idle|040A0000E264D5E4F0A7106600000000F84D83680000000050B1606600000000E406EA4100000000
000000006680C938|OV_SittingIdleLoop_Mounted|040A0000C77543E5F0A7106600000000084E83680000000050B1606600000000F006EA4100000000
000000006680C960|Orc_Sapper_FortWallDetonate|040A00007AD05AE8F0A7106600000000184E83680000000050B16066000000000C07EA4100000000
000000006680C988|Olog_AEIdleLoop|040A00004D96D9F3F0A7106600000000284E83680000000050B16066000000002807EA4100000000
000000006680C9B0|FortAssault_TrollRider_RangedAttack_Fire|040A0000041A7DF7F0A7106600000000384E83680000000050B16066000000003807EA4100000000
000000006680C9D8|Olog_AmpLoop|040A00002748BCF9F0A7106600000000484E83680000000050B16066000000006407EA4100000000
